call_id,account_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone,source_row_number,exact_duplicate_flag,call_id_rows,call_accounts,call_times,call_agents,call_statuses,call_id_conflict_flag,borrower_resolution_rule,borrower_id,borrower_id_mismatch_flag,account_missing_flag,raw_borrower_id,event_timezone_present_flag,event_at_utc
CALL0000011,ACC0008811,2026-07-23 14:50:00,AGT0000071,CMP0000098,OUTBOUND,VND0000011,NO_ANSWER,115,Asia/Dubai,11,False,1,1,1,1,1,0,account_master,BRW0003340,1,0,BRW0000960,1,2026-07-23 10:50:00
CALL0000012,ACC0012258,2026-02-12 20:40:45,AGT0000014,CMP0000107,INBOUND,VND0000008,BUSY,589,UTC,12,False,1,1,1,1,1,0,account_master,BRW0011379,1,0,BRW0003468,1,2026-02-12 20:40:45
CALL0000013,ACC0014154,2026-05-30 17:57:19,AGT0000298,CMP0000074,INBOUND,VND0000012,VOICEMAIL,809,Asia/Dubai,13,False,1,1,1,1,1,0,account_master,BRW0011312,1,0,BRW0006698,1,2026-05-30 13:57:19
CALL0000014,ACC0007396,2026-01-10 17:09:15,AGT0000992,CMP0000098,OUTBOUND,VND0000008,VOICEMAIL,536,Asia/Dubai,14,False,1,1,1,1,1,0,account_master,BRW0001764,1,0,BRW0005478,1,2026-01-10 13:09:15
CALL0000015,ACC0003819,2026-06-13 22:35:10,AGT0000630,CMP0000028,OUTBOUND,VND0000007,FAILED,782,Asia/Dubai,15,False,1,1,1,1,1,0,account_master,BRW0010971,1,0,BRW0010032,1,2026-06-13 18:35:10
CALL0000016,ACC0004194,2026-01-01 10:44:31,AGT0000270,CMP0000078,OUTBOUND,VND0000012,FAILED,479,UTC,16,False,1,1,1,1,1,0,account_master,BRW0002562,1,0,BRW0007276,1,2026-01-01 10:44:31
CALL0000017,ACC0000324,2026-01-21 16:48:34,AGT0000198,CMP0000048,OUTBOUND,VND0000009,NO_ANSWER,772,Asia/Dubai,17,False,1,1,1,1,1,0,account_master,BRW0002953,1,0,BRW0009995,1,2026-01-21 12:48:34
CALL0000018,ACC0000064,2026-04-28 11:02:01,AGT0000040,CMP0000068,OUTBOUND,VND0000003,FAILED,230,UTC,18,False,1,1,1,1,1,0,account_master,BRW0010395,1,0,BRW0011457,1,2026-04-28 11:02:01
CALL0000019,ACC0021121,2026-01-05 08:28:07,AGT0000018,CMP0000033,OUTBOUND,VND0000013,VOICEMAIL,399,Asia/Kolkata,19,False,1,1,1,1,1,0,account_master,BRW0008638,1,0,BRW0005251,1,2026-01-05 02:58:07
CALL0000020,ACC0017100,2026-04-26 16:31:37,AGT0000641,CMP0000108,OUTBOUND,VND0000012,BUSY,354,UTC,20,False,1,1,1,1,1,0,account_master,BRW0004623,1,0,BRW0009052,1,2026-04-26 16:31:37
CALL0000021,ACC0028579,2026-02-14 04:38:51,AGT0000613,CMP0000009,OUTBOUND,VND0000001,VOICEMAIL,63,Asia/Kolkata,21,False,1,1,1,1,1,0,account_master,BRW0003246,1,0,BRW0006503,1,2026-02-13 23:08:51
CALL0000022,ACC0009881,2026-08-05 05:55:16,AGT0000842,CMP0000019,OUTBOUND,VND0000001,VOICEMAIL,289,Asia/Kolkata,22,False,1,1,1,1,1,0,account_master,BRW0004786,1,0,BRW0008929,1,2026-08-05 00:25:16
CALL0000023,ACC0005656,2026-07-11 16:42:23,AGT0000862,CMP0000096,OUTBOUND,VND0000007,NO_ANSWER,537,Asia/Kolkata,23,False,1,1,1,1,1,0,account_master,BRW0009478,1,0,BRW0006248,1,2026-07-11 11:12:23
CALL0000024,ACC0020634,2026-08-04 17:24:59,AGT0000905,CMP0000076,INBOUND,VND0000005,VOICEMAIL,807,Asia/Dubai,24,False,1,1,1,1,1,0,account_master,BRW0007820,1,0,BRW0005033,1,2026-08-04 13:24:59
CALL0000025,ACC0004249,2026-06-19 04:18:04,AGT0000638,CMP0000050,INBOUND,VND0000015,FAILED,519,Asia/Dubai,25,False,1,1,1,1,1,0,account_master,BRW0003506,1,0,BRW0002761,1,2026-06-19 00:18:04
CALL0000026,ACC0002738,2026-04-08 22:43:02,AGT0000454,CMP0000104,OUTBOUND,VND0000003,ANSWERED,147,Asia/Dubai,26,False,1,1,1,1,1,0,account_master,BRW0003872,1,0,BRW0003702,1,2026-04-08 18:43:02
CALL0000027,ACC0002663,2026-01-18 12:26:51,AGT0000841,CMP0000017,OUTBOUND,VND0000005,BUSY,453,Asia/Kolkata,27,False,1,1,1,1,1,0,account_master,BRW0006454,1,0,BRW0007883,1,2026-01-18 06:56:51
CALL0000028,ACC0013665,2026-04-28 20:47:37,AGT0000018,CMP0000006,OUTBOUND,VND0000002,FAILED,659,Asia/Kolkata,28,False,1,1,1,1,1,0,account_master,BRW0006012,1,0,BRW0011459,1,2026-04-28 15:17:37
CALL0000029,ACC0022130,2026-03-24 00:14:47,AGT0000865,CMP0000055,OUTBOUND,VND0000015,FAILED,46,Asia/Dubai,29,False,1,1,1,1,1,0,account_master,BRW0011092,1,0,BRW0011674,1,2026-03-23 20:14:47
CALL0000030,ACC0015282,2026-06-18 19:24:12,AGT0000850,CMP0000089,OUTBOUND,VND0000008,FAILED,749,UTC,30,False,1,1,1,1,1,0,raw_event_borrower,BRW0007845,0,1,BRW0007845,1,2026-06-18 19:24:12
CALL0000031,ACC0029780,2026-02-09 19:57:02,AGT0000316,CMP0000001,OUTBOUND,VND0000010,BUSY,806,UTC,31,False,1,1,1,1,1,0,account_master,BRW0007974,1,0,BRW0004398,1,2026-02-09 19:57:02
CALL0000032,ACC0010981,2026-03-29 20:46:57,AGT0000789,CMP0000074,OUTBOUND,VND0000005,FAILED,719,Asia/Kolkata,32,False,1,1,1,1,1,0,account_master,BRW0002518,1,0,BRW0009494,1,2026-03-29 15:16:57
CALL0000033,ACC0020302,2026-04-26 20:30:26,AGT0000315,CMP0000046,OUTBOUND,VND0000013,VOICEMAIL,44,Asia/Dubai,33,False,1,1,1,1,1,0,account_master,BRW0010959,1,0,BRW0010171,1,2026-04-26 16:30:26
CALL0000034,ACC0007010,2026-01-13 07:21:05,AGT0000489,CMP0000035,OUTBOUND,VND0000014,FAILED,335,Asia/Kolkata,34,False,1,1,1,1,1,0,account_master,BRW0009403,1,0,BRW0004684,1,2026-01-13 01:51:05
CALL0000035,ACC0024768,2026-06-12 05:33:37,AGT0000268,CMP0000109,OUTBOUND,VND0000012,ANSWERED,827,Asia/Kolkata,35,False,1,1,1,1,1,0,account_master,BRW0010584,1,0,BRW0007892,1,2026-06-12 00:03:37
CALL0000036,ACC0025120,2026-04-23 22:06:26,AGT0000515,CMP0000068,OUTBOUND,VND0000012,BUSY,737,Asia/Kolkata,36,False,1,1,1,1,1,0,account_master,BRW0010228,1,0,BRW0004094,1,2026-04-23 16:36:26
CALL0000037,ACC0009696,2026-04-20 01:18:52,AGT0000787,CMP0000010,OUTBOUND,VND0000011,BUSY,47,Asia/Kolkata,37,False,1,1,1,1,1,0,account_master,BRW0007795,1,0,BRW0003238,1,2026-04-19 19:48:52
CALL0000038,ACC0003044,2026-01-17 19:04:20,AGT0000059,CMP0000051,INBOUND,VND0000011,VOICEMAIL,487,UTC,38,False,1,1,1,1,1,0,account_master,BRW0004104,1,0,BRW0009956,1,2026-01-17 19:04:20
CALL0000039,ACC0012935,2026-04-28 03:56:21,AGT0000613,CMP0000062,OUTBOUND,VND0000008,BUSY,681,Asia/Kolkata,39,False,1,1,1,1,1,0,account_master,BRW0000976,1,0,BRW0008063,1,2026-04-27 22:26:21
CALL0000040,ACC0018788,2026-07-09 10:23:27,AGT0000172,CMP0000007,OUTBOUND,VND0000007,VOICEMAIL,299,UTC,40,False,1,1,1,1,1,0,account_master,BRW0003203,1,0,BRW0003659,1,2026-07-09 10:23:27
CALL0000041,ACC0008263,2026-01-05 17:53:57,AGT0000108,CMP0000050,OUTBOUND,VND0000005,ANSWERED,298,Asia/Dubai,41,False,1,1,1,1,1,0,account_master,BRW0008350,1,0,BRW0001425,1,2026-01-05 13:53:57
CALL0000042,ACC0001605,2026-06-20 19:03:46,AGT0000887,CMP0000055,OUTBOUND,VND0000005,FAILED,467,UTC,42,False,1,1,1,1,1,0,account_master,BRW0007884,1,0,BRW0008707,1,2026-06-20 19:03:46
CALL0000043,ACC0023026,2026-03-05 03:21:54,AGT0000081,CMP0000011,OUTBOUND,VND0000002,NO_ANSWER,786,Asia/Dubai,43,False,1,1,1,1,1,0,account_master,BRW0009480,1,0,BRW0000740,1,2026-03-04 23:21:54
CALL0000044,ACC0008487,2026-01-01 20:35:27,AGT0000271,CMP0000051,OUTBOUND,VND0000002,NO_ANSWER,353,Asia/Kolkata,44,False,1,1,1,1,1,0,account_master,BRW0000571,1,0,BRW0000218,1,2026-01-01 15:05:27
CALL0000045,ACC0000606,2026-02-16 06:10:11,,CMP0000095,OUTBOUND,VND0000002,FAILED,156,Asia/Kolkata,45,False,1,1,1,0,1,0,account_master,BRW0005770,1,0,BRW0009525,1,2026-02-16 00:40:11
CALL0000046,ACC0008985,2026-08-02 14:41:22,AGT0000578,CMP0000099,OUTBOUND,VND0000002,VOICEMAIL,263,Asia/Dubai,46,False,1,1,1,1,1,0,account_master,BRW0011234,1,0,BRW0006195,1,2026-08-02 10:41:22
CALL0000047,ACC0004659,2026-03-31 09:36:09,AGT0000190,CMP0000014,OUTBOUND,VND0000007,FAILED,55,Asia/Kolkata,47,False,1,1,1,1,1,0,account_master,BRW0001055,1,0,BRW0004843,1,2026-03-31 04:06:09
CALL0000048,ACC0012134,2026-02-07 04:04:49,AGT0000446,CMP0000072,OUTBOUND,VND0000004,ANSWERED,882,UTC,48,False,1,1,1,1,1,0,account_master,BRW0001537,1,0,BRW0005819,1,2026-02-07 04:04:49
CALL0000049,ACC0016678,2026-05-05 04:32:55,AGT0000144,CMP0000062,OUTBOUND,VND0000001,NO_ANSWER,747,Asia/Kolkata,49,False,1,1,1,1,1,0,account_master,BRW0001888,1,0,BRW0005102,1,2026-05-04 23:02:55
CALL0000050,ACC0025237,2026-04-24 23:15:21,AGT0000269,CMP0000020,OUTBOUND,VND0000004,ANSWERED,337,UTC,50,False,1,1,1,1,1,0,account_master,BRW0007949,1,0,BRW0005568,1,2026-04-24 23:15:21
CALL0000051,ACC0027424,2026-05-21 03:10:57,AGT0000454,CMP0000031,OUTBOUND,VND0000002,VOICEMAIL,82,Asia/Dubai,51,False,1,1,1,1,1,0,account_master,BRW0003674,1,0,BRW0007657,1,2026-05-20 23:10:57
CALL0000052,ACC0001834,2026-04-07 14:27:38,AGT0000360,CMP0000020,OUTBOUND,VND0000012,NO_ANSWER,706,Asia/Kolkata,52,False,1,1,1,1,1,0,account_master,BRW0008645,1,0,BRW0007564,1,2026-04-07 08:57:38
CALL0000053,ACC0017503,2026-05-12 22:43:38,AGT0000301,CMP0000008,OUTBOUND,VND0000002,ANSWERED,848,Asia/Kolkata,53,False,1,1,1,1,1,0,account_master,BRW0002593,1,0,BRW0000835,1,2026-05-12 17:13:38
CALL0000054,ACC0029981,2026-07-08 17:08:17,AGT0000755,CMP0000114,OUTBOUND,VND0000001,FAILED,582,Asia/Dubai,54,False,1,1,1,1,1,0,account_master,BRW0008651,1,0,BRW0008565,1,2026-07-08 13:08:17
CALL0000055,ACC0017849,2026-05-25 00:30:29,AGT0000071,CMP0000051,INBOUND,VND0000015,ANSWERED,607,UTC,55,False,1,1,1,1,1,0,account_master,BRW0003317,1,0,BRW0009870,1,2026-05-25 00:30:29
CALL0000056,ACC0008085,2026-05-06 18:18:42,AGT0000549,CMP0000087,OUTBOUND,VND0000008,ANSWERED,665,Asia/Kolkata,56,False,1,1,1,1,1,0,account_master,BRW0000497,1,0,BRW0007352,1,2026-05-06 12:48:42
CALL0000057,ACC0016026,2026-04-11 19:47:42,AGT0000745,CMP0000074,INBOUND,VND0000009,NO_ANSWER,154,Asia/Dubai,57,False,1,1,1,1,1,0,account_master,BRW0001386,1,0,BRW0007818,1,2026-04-11 15:47:42
CALL0000058,ACC0019088,2026-03-25 11:39:26,AGT0000127,CMP0000116,OUTBOUND,VND0000008,ANSWERED,867,UTC,58,False,1,1,1,1,1,0,account_master,BRW0011680,1,0,BRW0002874,1,2026-03-25 11:39:26
CALL0000059,ACC0004837,2026-08-06 11:12:55,AGT0000536,CMP0000111,INBOUND,VND0000007,FAILED,597,UTC,59,False,1,1,1,1,1,0,account_master,BRW0005556,1,0,BRW0001292,1,2026-08-06 11:12:55
CALL0000060,ACC0023992,2026-01-02 05:37:04,AGT0000942,CMP0000002,OUTBOUND,VND0000015,VOICEMAIL,416,UTC,60,False,1,1,1,1,1,0,account_master,BRW0011912,1,0,BRW0011158,1,2026-01-02 05:37:04
CALL0000061,ACC0021451,2026-03-19 23:25:59,AGT0000592,CMP0000076,OUTBOUND,VND0000015,VOICEMAIL,470,UTC,61,False,1,1,1,1,1,0,account_master,BRW0009385,1,0,BRW0005090,1,2026-03-19 23:25:59
CALL0000062,ACC0011818,2026-05-07 16:03:49,AGT0000539,CMP0000091,OUTBOUND,VND0000006,BUSY,131,Asia/Kolkata,62,False,1,1,1,1,1,0,account_master,BRW0010136,1,0,BRW0006455,1,2026-05-07 10:33:49
CALL0000063,ACC0014378,2026-04-16 05:42:32,AGT0000121,CMP0000086,OUTBOUND,VND0000013,FAILED,221,Asia/Kolkata,63,False,1,1,1,1,1,0,account_master,BRW0010888,1,0,BRW0000898,1,2026-04-16 00:12:32
CALL0000064,ACC0022018,2026-07-27 19:51:14,AGT0000325,CMP0000068,OUTBOUND,VND0000014,BUSY,841,Asia/Kolkata,64,False,1,1,1,1,1,0,account_master,BRW0004518,1,0,BRW0010734,1,2026-07-27 14:21:14
CALL0000065,ACC0022731,2026-04-11 10:42:48,AGT0000409,CMP0000052,OUTBOUND,VND0000011,ANSWERED,135,UTC,65,False,1,1,1,1,1,0,account_master,BRW0009748,1,0,BRW0003424,1,2026-04-11 10:42:48
CALL0000066,ACC0017255,2026-06-23 10:00:47,AGT0000350,CMP0000102,INBOUND,VND0000004,VOICEMAIL,374,Asia/Kolkata,66,False,1,1,1,1,1,0,account_master,BRW0010780,1,0,BRW0001633,1,2026-06-23 04:30:47
CALL0000067,ACC0001545,2026-04-12 02:24:40,AGT0000495,CMP0000058,OUTBOUND,VND0000007,ANSWERED,153,UTC,67,False,1,1,1,1,1,0,account_master,BRW0004019,1,0,BRW0010088,1,2026-04-12 02:24:40
CALL0000068,ACC0009096,2026-05-30 09:33:56,AGT0000022,CMP0000056,OUTBOUND,VND0000011,ANSWERED,76,Asia/Kolkata,68,False,1,1,1,1,1,0,account_master,BRW0007462,1,0,BRW0004811,1,2026-05-30 04:03:56
CALL0000069,ACC0026901,2026-06-25 12:47:19,AGT0000209,CMP0000092,OUTBOUND,VND0000002,VOICEMAIL,590,UTC,69,False,1,1,1,1,1,0,account_master,BRW0011366,1,0,BRW0006326,1,2026-06-25 12:47:19
CALL0000070,ACC0013337,2026-04-07 17:35:41,AGT0000730,CMP0000061,OUTBOUND,VND0000006,VOICEMAIL,304,UTC,70,False,1,1,1,1,1,0,account_master,BRW0003697,1,0,BRW0002556,1,2026-04-07 17:35:41
CALL0000071,ACC0027600,2026-06-19 15:06:39,AGT0000638,CMP0000119,OUTBOUND,VND0000001,BUSY,88,Asia/Kolkata,71,False,1,1,1,1,1,0,account_master,BRW0000061,1,0,BRW0000723,1,2026-06-19 09:36:39
CALL0000072,ACC0026297,2026-04-12 16:38:52,,CMP0000072,OUTBOUND,VND0000007,VOICEMAIL,596,UTC,72,False,1,1,1,0,1,0,account_master,BRW0011101,1,0,BRW0007223,1,2026-04-12 16:38:52
CALL0000073,ACC0029802,2026-04-08 05:17:48,AGT0000783,CMP0000070,OUTBOUND,VND0000004,NO_ANSWER,452,Asia/Kolkata,73,False,1,1,1,1,1,0,account_master,BRW0005013,1,0,BRW0011081,1,2026-04-07 23:47:48
CALL0000074,ACC0008452,2026-02-21 10:27:09,AGT0000738,CMP0000101,OUTBOUND,VND0000015,BUSY,640,Asia/Kolkata,74,False,1,1,1,1,1,0,account_master,BRW0009629,1,0,BRW0001324,1,2026-02-21 04:57:09
CALL0000075,ACC0007294,2026-07-21 05:41:21,AGT0000861,CMP0000013,OUTBOUND,VND0000009,NO_ANSWER,81,UTC,75,False,1,1,1,1,1,0,account_master,BRW0003040,1,0,BRW0001466,1,2026-07-21 05:41:21
CALL0000076,ACC0015141,2026-04-23 15:42:33,AGT0000466,CMP0000050,OUTBOUND,VND0000012,ANSWERED,200,UTC,76,False,1,1,1,1,1,0,account_master,BRW0007415,1,0,BRW0006535,1,2026-04-23 15:42:33
CALL0000077,ACC0009635,2026-05-21 21:54:44,AGT0000264,CMP0000021,INBOUND,VND0000002,ANSWERED,563,UTC,77,False,1,1,1,1,1,0,account_master,BRW0007150,1,0,BRW0011777,1,2026-05-21 21:54:44
CALL0000078,ACC0022457,2026-06-03 18:45:40,AGT0000559,CMP0000063,OUTBOUND,VND0000008,FAILED,701,Asia/Dubai,78,False,1,1,1,1,1,0,account_master,BRW0010762,1,0,BRW0003774,1,2026-06-03 14:45:40
CALL0000079,ACC0028965,2026-02-05 15:07:45,AGT0000863,CMP0000114,OUTBOUND,VND0000003,FAILED,298,Asia/Dubai,79,False,1,1,1,1,1,0,account_master,BRW0002611,1,0,BRW0003447,1,2026-02-05 11:07:45
CALL0000080,ACC0023938,2026-06-08 16:13:05,AGT0000482,CMP0000045,OUTBOUND,VND0000014,ANSWERED,582,Asia/Kolkata,80,False,1,1,1,1,1,0,account_master,BRW0001319,1,0,BRW0003342,1,2026-06-08 10:43:05
CALL0000081,ACC0027868,2026-07-04 12:19:21,AGT0000874,CMP0000073,OUTBOUND,VND0000001,VOICEMAIL,269,Asia/Dubai,81,False,1,1,1,1,1,0,account_master,BRW0009539,1,0,BRW0004075,1,2026-07-04 08:19:21
CALL0000082,ACC0014082,2026-04-12 15:01:57,AGT0000271,CMP0000061,OUTBOUND,VND0000012,FAILED,743,Asia/Dubai,82,False,1,1,1,1,1,0,account_master,BRW0001209,1,0,BRW0005230,1,2026-04-12 11:01:57
CALL0000083,ACC0002244,2026-05-28 16:43:53,AGT0000336,CMP0000022,INBOUND,VND0000003,VOICEMAIL,271,UTC,83,False,1,1,1,1,1,0,account_master,BRW0008276,1,0,BRW0001722,1,2026-05-28 16:43:53
CALL0000084,ACC0017709,2026-03-15 08:14:35,AGT0000148,CMP0000019,OUTBOUND,VND0000007,VOICEMAIL,264,Asia/Kolkata,84,False,1,1,1,1,1,0,account_master,BRW0003086,1,0,BRW0006002,1,2026-03-15 02:44:35
CALL0000085,ACC0012331,2026-05-15 11:18:16,AGT0000105,CMP0000119,OUTBOUND,VND0000002,ANSWERED,759,Asia/Dubai,85,False,1,1,1,1,1,0,account_master,BRW0001583,1,0,BRW0002812,1,2026-05-15 07:18:16
CALL0000086,ACC0007081,2026-02-17 04:13:05,AGT0000239,CMP0000012,OUTBOUND,VND0000011,BUSY,68,Asia/Dubai,86,False,1,1,1,1,1,0,account_master,BRW0010173,1,0,BRW0005551,1,2026-02-17 00:13:05
CALL0000087,ACC0017903,2026-07-30 00:43:56,AGT0000145,CMP0000087,OUTBOUND,VND0000005,VOICEMAIL,602,UTC,87,False,1,1,1,1,1,0,account_master,BRW0006636,1,0,BRW0003538,1,2026-07-30 00:43:56
CALL0000088,ACC0004304,2026-06-16 03:06:13,AGT0000248,CMP0000006,OUTBOUND,VND0000004,VOICEMAIL,752,Asia/Kolkata,88,False,1,1,1,1,1,0,account_master,BRW0002116,1,0,BRW0009713,1,2026-06-15 21:36:13
CALL0000089,ACC0014855,2026-03-05 02:12:42,AGT0000388,CMP0000044,OUTBOUND,VND0000002,ANSWERED,663,Asia/Kolkata,89,False,1,1,1,1,1,0,account_master,BRW0010244,1,0,BRW0007271,1,2026-03-04 20:42:42
CALL0000090,ACC0012222,2026-07-22 04:46:37,AGT0000342,CMP0000081,OUTBOUND,VND0000008,ANSWERED,314,Asia/Dubai,90,False,1,1,1,1,1,0,account_master,BRW0008286,1,0,BRW0009268,1,2026-07-22 00:46:37
CALL0000091,ACC0029379,2026-05-04 10:26:13,AGT0000396,CMP0000114,OUTBOUND,VND0000003,NO_ANSWER,842,Asia/Dubai,91,False,1,1,1,1,1,0,account_master,BRW0006799,1,0,BRW0009569,1,2026-05-04 06:26:13
CALL0000092,ACC0015505,2026-05-18 16:41:34,AGT0000997,CMP0000052,OUTBOUND,VND0000004,VOICEMAIL,579,UTC,92,False,1,1,1,1,1,0,account_master,BRW0011721,1,0,BRW0011654,1,2026-05-18 16:41:34
CALL0000093,ACC0000670,2026-01-10 10:03:51,AGT0000188,CMP0000060,OUTBOUND,VND0000009,NO_ANSWER,66,Asia/Dubai,93,False,1,1,1,1,1,0,account_master,BRW0002034,1,0,BRW0005115,1,2026-01-10 06:03:51
CALL0000094,ACC0026373,2026-01-13 04:27:05,AGT0000435,CMP0000003,OUTBOUND,VND0000006,VOICEMAIL,138,Asia/Dubai,94,False,1,1,1,1,1,0,account_master,BRW0006913,1,0,BRW0003722,1,2026-01-13 00:27:05
CALL0000095,ACC0011771,2026-05-01 07:21:43,AGT0000508,CMP0000090,OUTBOUND,VND0000007,NO_ANSWER,425,UTC,95,False,1,1,1,1,1,0,account_master,BRW0001292,1,0,BRW0003697,1,2026-05-01 07:21:43
CALL0000096,ACC0004521,2026-03-18 09:49:36,AGT0000366,CMP0000064,INBOUND,VND0000001,FAILED,68,UTC,96,False,1,1,1,1,1,0,account_master,BRW0007270,1,0,BRW0010082,1,2026-03-18 09:49:36
CALL0000097,ACC0022138,2026-01-26 15:40:38,AGT0000194,CMP0000114,OUTBOUND,VND0000011,VOICEMAIL,705,Asia/Dubai,97,False,1,1,1,1,1,0,account_master,BRW0000533,1,0,BRW0003543,1,2026-01-26 11:40:38
CALL0000098,ACC0008965,2026-05-21 02:31:30,AGT0000749,CMP0000036,INBOUND,VND0000011,NO_ANSWER,490,Asia/Dubai,98,False,1,1,1,1,1,0,account_master,BRW0003214,1,0,BRW0010214,1,2026-05-20 22:31:30
CALL0000099,ACC0019918,2026-07-23 01:40:59,AGT0000190,CMP0000049,OUTBOUND,VND0000014,ANSWERED,154,UTC,99,False,1,1,1,1,1,0,account_master,BRW0003477,1,0,BRW0007698,1,2026-07-23 01:40:59
CALL0000100,ACC0029302,2026-03-16 15:48:37,AGT0000543,CMP0000018,OUTBOUND,VND0000010,NO_ANSWER,348,Asia/Dubai,100,False,1,1,1,1,1,0,account_master,BRW0006005,1,0,BRW0011410,1,2026-03-16 11:48:37
CALL0000101,ACC0028601,2026-02-26 14:09:01,AGT0000197,CMP0000022,OUTBOUND,VND0000002,VOICEMAIL,272,Asia/Kolkata,101,False,1,1,1,1,1,0,account_master,BRW0009000,1,0,BRW0005367,1,2026-02-26 08:39:01
CALL0000102,ACC0011796,2026-07-13 14:46:02,AGT0000302,CMP0000011,INBOUND,VND0000014,BUSY,31,Asia/Kolkata,102,False,1,1,1,1,1,0,account_master,BRW0005573,1,0,BRW0010680,1,2026-07-13 09:16:02
CALL0000103,ACC0025645,2026-01-24 22:24:27,AGT0000645,CMP0000096,OUTBOUND,VND0000008,FAILED,93,Asia/Dubai,103,False,1,1,1,1,1,0,account_master,BRW0007824,1,0,BRW0011706,1,2026-01-24 18:24:27
CALL0000104,ACC0021095,2026-07-10 11:04:22,AGT0001000,CMP0000086,OUTBOUND,VND0000015,FAILED,693,UTC,104,False,1,1,1,1,1,0,account_master,BRW0004285,1,0,BRW0011020,1,2026-07-10 11:04:22
CALL0000105,ACC0024104,2026-01-28 22:45:15,AGT0000414,CMP0000113,OUTBOUND,VND0000006,VOICEMAIL,269,Asia/Kolkata,105,False,1,1,1,1,1,0,account_master,BRW0008488,1,0,BRW0005619,1,2026-01-28 17:15:15
CALL0000106,ACC0016187,2026-01-08 12:48:00,AGT0000575,CMP0000011,INBOUND,VND0000003,NO_ANSWER,897,UTC,106,False,1,1,1,1,1,0,account_master,BRW0005535,1,0,BRW0010402,1,2026-01-08 12:48:00
CALL0000107,ACC0020593,2026-07-15 18:50:58,AGT0000498,CMP0000110,OUTBOUND,VND0000011,BUSY,770,Asia/Dubai,107,False,1,1,1,1,1,0,account_master,BRW0004432,1,0,BRW0004225,1,2026-07-15 14:50:58
CALL0000108,ACC0002462,2026-01-20 07:50:44,AGT0000742,CMP0000006,OUTBOUND,VND0000004,NO_ANSWER,633,Asia/Dubai,108,False,1,1,1,1,1,0,account_master,BRW0003710,1,0,BRW0004716,1,2026-01-20 03:50:44
CALL0000109,ACC0027232,2026-01-15 23:31:44,AGT0000902,CMP0000073,OUTBOUND,VND0000006,NO_ANSWER,871,Asia/Dubai,109,False,1,1,1,1,1,0,account_master,BRW0007836,1,0,BRW0005625,1,2026-01-15 19:31:44
